,GMM,KMeans
68,0.17652416489380848,0.08347115158274704
123,0.17502686579783205,0.08367962215247332
4255,0.1753231678165953,0.08390750103136993
17,0.1752884514445894,0.08361443926060252
1,0.17646591537325643,0.08384876806468017
63,0.1762335107863639,0.08379017501299926
11,0.17652416489380848,0.08375537173983694
77,0.17614660405983107,0.0837861521228945
4,0.176611650373685,0.08404991577924241
453,0.17652416489380848,0.08370016672083358
537,0.1758003151548744,0.08358390665438797
5323,0.17582909073573644,0.08358390665438797
3,0.17673548741373846,0.08370723633389289
42,0.17541498777330422,0.08365202399400709
323,0.17562797439856806,0.08356629473207647
21,0.1756853617345221,0.08372776121840572
617,0.17658247372388663,0.08361139914724594
7,0.17652416489380848,0.08401871823229204
0,0.1758003151548744,0.08393528130131708
1234,0.1758003151548744,0.08347409693166785
9,0.17685968271872465,0.0836695102267136
61,0.1758003151548744,0.08373486653798415
57,0.17541498777330422,0.08376251276445498
583,0.176611650373685,0.08367962215247332
19,0.17614660405983107,0.08336822898565144
12345,0.17683035725329727,0.08358390665438797
14,0.17562797439856806,0.08339852724073535
4257,0.17685968271872465,0.08370016672083358
5,0.1752884514445894,0.08370016672083358
mean,0.17606582249542638,0.08369177229901478
