,KMeansAgainstGMM,GMMAgainstFuzzyCMeans,GMMAgainstAgglomerative,GMMAgainstSpectral
pValue,7.029130370840997e-43,1.0,,0.9797189204084195
Stat,39.6530846392017,-221.7703210493919,,-2.126805833215224
Cluster1Avg,0.39550700996650573,0.39550700996650573,0.39550700996650573,0.39550700996650573
Cluster2Avg,0.39550700996650573,0.3669963892534039,0.3439799600409206,0.3952196691406174
Winner,GMM,GMM,GMM,GMM
