,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral
68,0.17797871334790052,0.17970579482681248,0.15387895978537905,0.11918957748640548,0.17033630664621413
94,0.1772570351223504,0.17970579482681248,0.1539228218595745,0.11918957748640548,0.170243994482261
60,0.1772570351223504,0.18004525422312265,0.1539228218595745,0.11918957748640548,0.17019785653857272
17,0.17673878201281668,0.16997939016943553,0.15387895978537905,0.11918957748640548,0.170243994482261
1,0.17778597805307841,0.17985119795899643,0.15387895978537905,0.11918957748640548,0.17052107624859464
63,0.1772570351223504,0.17980271701500194,0.15387895978537905,0.11918957748640548,0.17033630664621413
11,0.1772570351223504,0.16970381357976802,0.15387895978537905,0.11918957748640548,0.17005951518870932
77,0.1772570351223504,0.1687883265304379,0.15387895978537905,0.11918957748640548,0.17033630664621413
4,0.17770113956071334,0.16938285149960147,0.15387895978537905,0.11918957748640548,0.17135125226434725
45,0.18164923249393738,0.16946128882241096,0.15387895978537905,0.11918957748640548,0.17033630664621413
24,0.1772570351223504,0.16974971308502748,0.15387895978537905,0.11918957748640548,0.17005951518870932
15,0.1772570351223504,0.16924547517063007,0.15387895978537905,0.11918957748640548,0.17001342554585647
3,0.18164923249393738,0.17965735356929305,0.1539228218595745,0.11918957748640548,0.17029014451613766
42,0.1772570351223504,0.1697371407445909,0.15387895978537905,0.11918957748640548,0.17029014451613766
32,0.1772570351223504,0.1795605106941745,0.15387895978537905,0.11918957748640548,0.17029014451613766
21,0.1772570351223504,0.18038536379321762,0.15387895978537905,0.11918957748640548,0.17033630664621413
62,0.1772570351223504,0.16974971308502748,0.1539228218595745,0.11918957748640548,0.17019785653857272
7,0.17730505559470816,0.1687883265304379,0.15387895978537905,0.11918957748640548,0.1705672989497747
0,0.18108686516413258,0.1687883265304379,0.15387895978537905,0.11918957748640548,0.169967347963242
78,0.18128768423275396,0.1687883265304379,0.15387895978537905,0.11918957748640548,0.1709328488738967
9,0.17980979010555315,0.16924547517063007,0.15387895978537905,0.11918957748640548,0.17005951518870932
61,0.17962548304166598,0.17898056057470502,0.1539228218595745,0.11918957748640548,0.170243994482261
57,0.18204054949637097,0.17980271701500194,0.15387895978537905,0.11918957748640548,0.17019785653857272
84,0.18125878918468918,0.16997939016943553,0.15387895978537905,0.11918957748640548,0.17033630664621413
19,0.1772570351223504,0.17980271701500194,0.15387895978537905,0.11918957748640548,0.17029014451613766
56,0.1793192473612265,0.1795605106941745,0.15387895978537905,0.11918957748640548,0.17029014451613766
2,0.18006396483589218,0.17350404100185723,0.15387895978537905,0.11918957748640548,0.169967347963242
14,0.17980979010555315,0.17975424930649223,0.15387895978537905,0.11918957748640548,0.17001342554585647
87,0.1772570351223504,0.1687883265304379,0.15387895978537905,0.11918957748640548,0.171304713885247
46,0.1772570351223504,0.17927029871004516,0.15387895978537905,0.11918957748640548,0.17042866721896582
