,2,3,max_value_random_state
68,0.4004575523408862,0.4400575510233579,3
123,0.4004109549401089,0.4400575510233579,3
Mean,0.40043425364049756,0.4400575510233579,3
P-Value,0.0,,2
T-Statistics,1.0,,2
