,3,5,4,2
68,0.4423224892098865,0.44032138119728575,0.43784263133518897,0.4047026013944518
123,0.4423224892098865,0.44029567776946577,0.43791460752251526,0.4047026013944518
4255,0.44258349794517426,0.4403024474164797,0.43789358768411396,0.4047026013944518
17,0.4423171897190598,0.4402138067685972,0.4379397905782629,0.4047010434877334
1,0.4423171897190598,0.44020217278051854,0.43784263133518897,0.4047026013944518
63,0.4423340515945429,0.4402137630025131,0.4378823734272705,0.4047026013944518
11,0.4425729223466541,0.44020217278051854,0.4379127953862614,0.4047026013944518
77,0.44231280449389115,0.44030246109474425,0.4377818488475029,0.4047026013944518
4,0.4423967368205056,0.44020267701794535,0.4379065534912055,0.4047026013944518
453,0.44231225387155015,0.440312509722839,0.4378973223093465,0.40468901712067784
537,0.4423224892098865,0.44029759142392283,0.4379031391594581,0.4047026013944518
5323,0.4423224892098865,0.4403056099960936,0.4379397905782629,0.4047026013944518
3,0.4423224892098865,0.44030951735814894,0.4379397905782629,0.4047026013944518
42,0.4423224892098865,0.4402164839916951,0.4379397905782629,0.4047026013944518
323,0.4423224892098865,0.4402826670659602,0.43786326170797674,0.4047026013944518
21,0.4423224892098865,0.44030588676847643,0.43792053515805285,0.4047026013944518
617,0.44257873725284513,0.44019307918538153,0.43786343875550027,0.4047048795464504
7,0.4423224892098865,0.4403080745892342,0.4378973223093465,0.4047049897607864
0,0.4423224892098865,0.4402876476263341,0.4379031391594581,0.4047048795464504
1234,0.4425440109206508,0.4402097326620651,0.4378973223093465,0.4047026013944518
9,0.4423224892098865,0.4403230086062467,0.43786163379310633,0.4047026013944518
61,0.4423108281588411,0.4403080745892342,0.4379127953862614,0.4047026013944518
57,0.4423171897190598,0.4402151190497186,0.43785363213747464,0.4047026013944518
583,0.4423224892098865,0.4402636986153445,0.4378311442606697,0.4046885099472292
19,0.4423224892098865,0.4401904480660552,0.43789358768411396,0.4047026013944518
12345,0.44244713214423065,0.4403230086062467,0.437943465038177,0.4047026013944518
14,0.4423224892098865,0.44031082603964805,0.437943465038177,0.4047026013944518
4257,0.4423224892098865,0.44032049797107947,0.43792053515805285,0.40469869620372906
5,0.4423224892098865,0.44019307918538153,0.43784263133518897,0.4047048795464504
mean,0.4423622197263533,0.440266659343006,0.4378925711048968,0.4047017767049308
