,2,3,max_value_n_clusters
68,0.3678328481364272,0.4399830582891575,3
123,0.3688869303611854,0.43065939056600094,3
Mean,0.3683598892488063,0.43532122442757926,3
P-Value,0.0,0.0,2
T-Statistics,1.0,1.0,2
