,2,3,max_value_n_clusters
68,0.4022726375974877,0.4452462060899511,3
123,0.4022436371897048,0.44452634134326774,3
Mean,0.4022581373935963,0.4448862737166094,3
P-Value,0.0,0.0,2
T-Statistics,1.0,1.0,2
