,p_value,stat,test,result
0,0.0,8609968.35552055,KMeans = GMM = FuzzyCMeans = Agglomerative = Spectral,False
1,5.790542034165627e-160,-3361.6055585753215,GMM = KMeans,False
2,1.0,-3361.6055585753215,GMM > KMeans,True
3,3.533729852146637e-158,3138.976163460797,FuzzyCMeans = GMM,False
4,1.7668649260733186e-158,3138.976163460797,FuzzyCMeans > GMM,False
5,3.533729852146637e-158,3138.976163460797,FuzzyCMeans = GMM,False
6,1.7668649260733186e-158,3138.976163460797,FuzzyCMeans > GMM,False
7,7.504348573078245e-141,-1614.3575877631506,FuzzyCMeans = KMeans,False
8,1.0,-1614.3575877631506,FuzzyCMeans > KMeans,True
9,2.747958629246259e-211,-24095.892441833632,Agglomerative = FuzzyCMeans,False
10,1.0,-24095.892441833632,Agglomerative > FuzzyCMeans,True
11,3.952591787048926e-135,1296.0971166884735,Agglomerative = GMM,False
12,1.976295893524463e-135,1296.0971166884735,Agglomerative > GMM,False
13,1.4078274306150484e-161,3576.4298855492007,Spectral = Agglomerative,False
14,7.039137153075242e-162,3576.4298855492007,Spectral > Agglomerative,False
15,5.1195763701915524e-98,-311.87044561439933,Spectral = FuzzyCMeans,False
16,1.0,-311.87044561439933,Spectral > FuzzyCMeans,True
