,KMeansAgainstGMM,KMeansAgainstFuzzyCMeans,KMeansAgainstAgglomerative,KMeansAgainstSpectral
pValue,1.0,1.0,1.0,1.0
Stat,-3167.208066232872,-1542.0971831257834,-15611.533116937228,-761.8313845420549
Cluster1Avg,0.39530278964385707,0.39530278964385707,0.39530278964385707,0.39530278964385707
Cluster2Avg,0.3286043878679586,0.39056542509791714,0.35411599281131234,0.3876083947802535
Winner,KMeans,KMeans,KMeans,KMeans
