,Spectral,KMeans,FuzzyCMeans,GMM,Agglomerative
0,0.4047026013944518,0.4022726375974877,0.4004575523408862,0.3678328481364272,0.3464322567408749
1,0.4047026013944518,0.4022436371897048,0.4004109549401089,0.3688869303611854,0.3464322567408749
2,0.4047026013944518,0.4022667277636688,0.4004575523408862,0.3689339685797375,0.3464322567408749
3,0.4047010434877334,0.4027638979927641,0.4004109549401089,0.3644522309287497,0.3464322567408749
4,0.4047026013944518,0.4026530320598818,0.4004575523408862,0.36564190914752,0.3464322567408749
5,0.4047026013944518,0.4029725398460304,0.4004109549401089,0.365670026773057,0.3464322567408749
6,0.4047026013944518,0.4022841304259283,0.4004565664100688,0.3680050463938992,0.3464322567408749
7,0.4047026013944518,0.4023766828196383,0.4004109549401089,0.3653333814806407,0.3464322567408749
8,0.4047026013944518,0.4022771012828672,0.4004575523408862,0.4020431716379118,0.3464322567408749
9,0.4046890171206778,0.4023692319973442,0.4004109549401089,0.3656092527672619,0.3464322567408749
10,0.4047026013944518,0.4022937853647684,0.4004109549401089,0.3680361660309386,0.3464322567408749
11,0.4047026013944518,0.4022667277636688,0.4004109549401089,0.3690308993429081,0.3464322567408749
12,0.4047026013944518,0.4031820642942026,0.4004109549401089,0.4029072217671479,0.3464322567408749
13,0.4047026013944518,0.4022771012828672,0.4004565664100688,0.365670026773057,0.3464322567408749
14,0.4047026013944518,0.4022937853647684,0.4004109549401089,0.4020598839187735,0.3464322567408749
15,0.4047026013944518,0.4022726375974877,0.4004575523408862,0.4020320789288816,0.3464322567408749
16,0.4047048795464504,0.4022726375974877,0.4004109549401089,0.36564190914752,0.3464322567408749
17,0.4047049897607864,0.4022726375974877,0.4004109549401089,0.4020192766526688,0.3464322567408749
18,0.4047048795464504,0.4022667277636688,0.4004575523408862,0.3680361660309386,0.3464322567408749
19,0.4047026013944518,0.4022726375974877,0.4004565664100688,0.3656092527672619,0.3464322567408749
20,0.4047026013944518,0.4022937853647684,0.4004109549401089,0.4020314162130058,0.3464322567408749
21,0.4047026013944518,0.4022667277636688,0.4004109549401089,0.3637792192566891,0.3464322567408749
22,0.4047026013944518,0.4022804915211516,0.4004109549401089,0.367795122973602,0.3464322567408749
23,0.4046885099472292,0.4030512700080773,0.4004565664100688,0.4020201216659192,0.3464322567408749
24,0.4047026013944518,0.4022416110009195,0.4004109549401089,0.3656092527672619,0.3464322567408749
25,0.4047026013944518,0.4022726375974877,0.4004109549401089,0.3680050463938992,0.3464322567408749
26,0.4047026013944518,0.4022667277636688,0.4004109549401089,0.4020201216659192,0.3464322567408749
27,0.404698696203729,0.4022667277636688,0.4004109549401089,0.3689339685797375,0.3464322567408749
28,0.4047048795464504,0.4022726375974877,0.4004565664100688,0.3655798900912557,0.3464322567408749
29,0.4047017767049308,0.4023918268131072,0.4004284598281938,0.3765250278335785,0.3464322567408751
30,0.4047017767049308,0.4023918268131072,0.4004284598281938,0.3765250278335784,0.3464322567408751
mean,0.4047017767049308,0.40239182681310715,0.40042845982819375,0.37652502783357844,0.34643225674087513
