,KMeansAgainstGMM,KMeansAgainstFuzzyCMeans,KMeansAgainstAgglomerative,KMeansAgainstSpectral
pValue,0.9999999979222686,1.0,1.0,5.976808422825663e-28
Stat,-8.259281966445084,-36.83857769196968,-1039.2918559416464,42.38878999047398
Cluster1Avg,0.40241816806247704,0.40241816806247704,0.40241816806247704,0.40470180419458146
Cluster2Avg,0.3774044342980308,0.4004278763319243,0.34643225674087513,0.40470180419458146
Winner,KMeans,KMeans,KMeans,Spectral
