,p_value,stat,test,result
0,0.0,6.584528675443409e+16,3 = 5 = 4 = 6,False
1,0.0,-1354011387898920.8,5 = 3,False
2,1.0,-1354011387898920.8,5 > 3,True
3,0.0,-229598635363780.66,4 = 5,False
4,1.0,-229598635363780.66,4 > 5,True
5,0.0,-743564078370589.8,6 = 4,False
6,1.0,-743564078370589.8,6 > 4,True
