,3,4
68,0.3952956185322333,0.3895961750942034
123,0.3952979950827529,0.3895890128449841
4255,0.39529831614962796,0.38959249857347267
17,0.3953136765744663,0.38965921536182013
1,0.39529548700678147,0.3895852461220022
63,0.39530747180125647,0.38958683811913924
11,0.3952871775200072,0.38949632174688653
77,0.3952844710890223,0.38958192412277615
4,0.39529859961799335,0.3895873214054175
453,0.3952930872146197,0.3895819974947525
537,0.3952916367801064,0.38951927817626814
5323,0.3952916367801064,0.38960358388041544
3,0.39531586959583026,0.38959721197374403
42,0.39532317573764875,0.38951927817626814
323,0.3953133981887882,0.38951927817626814
21,0.3952904901755033,0.3896180828976392
617,0.3952885246035347,0.3895760973810055
7,0.3953027031333235,0.38949002315381437
0,0.39529721060152373,0.3896060665031183
1234,0.39532882155912313,0.38951927817626814
9,0.3952967288171876,0.38951927817626814
61,0.3953006820796612,0.38960846619558337
57,0.3953027309543633,0.3895812444957355
583,0.3952979950827529,0.3895787695996613
19,0.395339147512326,0.38949632174688653
12345,0.3952916367801064,0.3895686435681508
14,0.39533735631999595,0.38959306412255257
4257,0.3952930872146197,0.3895871764114646
5,0.3952930872146197,0.3896060665031183
mean,0.3953023386110304,0.38957116414481663
