,GMM_anomaly_detection,FuzzyCMeans_anomaly_detection,KMeans_anomaly_detection,KNN_anomaly_detection,all_data_KMeans
68,0.43452194022221313,0.40669982147473027,0.4061598182349212,0.3954239656051489,0.3952956185322333
123,0.43452194022221313,0.4066721647157806,0.4061598182349212,0.39541488709823214,0.3952979950827529
4255,0.43452194022221313,0.4067017391849291,0.4061598182349212,0.3954197423774094,0.39529831614962796
17,0.43452194022221313,0.40668733291836795,0.4061598182349212,0.3954154958509983,0.3953136765744663
1,0.43452194022221313,0.4066870884143489,0.4061598182349212,0.3954239656051489,0.39529548700678147
63,0.43452194022221313,0.4066900500702573,0.4061598182349212,0.3954277473610042,0.39530747180125647
11,0.43452194022221313,0.4066961455352312,0.4061598182349212,0.39541488709823214,0.3952871775200072
77,0.43452194022221313,0.40665722500532936,0.4061598182349212,0.39544588406011816,0.3952844710890223
4,0.4345196562241421,0.40665300977344815,0.4061598182349212,0.39542994528795133,0.39529859961799335
453,0.43452194022221313,0.40669240942493273,0.4061598182349212,0.39541488709823214,0.3952930872146197
537,0.43452194022221313,0.4066958779072131,0.4061598182349212,0.39542774864047037,0.3952916367801064
5323,0.43452194022221313,0.4067098625769759,0.4061598182349212,0.3954242033500107,0.3952916367801064
3,0.43452194022221313,0.40669115304995074,0.4061598182349212,0.3954251183521712,0.39531586959583026
42,0.43452194022221313,0.40670411398949496,0.4061598182349212,0.39541887748829324,0.39532317573764875
323,0.43452194022221313,0.4067017391849291,0.4061598182349212,0.39541168367095203,0.3953133981887882
21,0.43452194022221313,0.4067083986740467,0.4061598182349212,0.3954429746543166,0.3952904901755033
617,0.43452194022221313,0.4066958779072131,0.4061598182349212,0.39541488709823214,0.3952885246035347
7,0.43452194022221313,0.4067035419889766,0.4061598182349212,0.3954202421810813,0.3953027031333235
0,0.43452194022221313,0.40665229703495526,0.4061598182349212,0.3954251183521712,0.39529721060152373
1234,0.43452194022221313,0.40663640133821743,0.4061598182349212,0.3954237531168191,0.39532882155912313
9,0.43452194022221313,0.4066854983065502,0.4061598182349212,0.39542206277036535,0.3952967288171876
61,0.43452194022221313,0.40669260635262644,0.4061598182349212,0.39541912479440317,0.3953006820796612
57,0.43452194022221313,0.4066958779072131,0.4061598182349212,0.39542880081330817,0.3953027309543633
583,0.43452194022221313,0.40668695364671614,0.4061598182349212,0.3954251183521712,0.3952979950827529
19,0.43452194022221313,0.40668045045244544,0.4061598182349212,0.3954206058964175,0.395339147512326
12345,0.43452194022221313,0.4067002055369251,0.4061598182349212,0.39543185102931455,0.3952916367801064
14,0.43452194022221313,0.4067083986740467,0.4061598182349212,0.3954251183521712,0.39533735631999595
4257,0.43452194022221313,0.4066893527064456,0.4061598182349212,0.3954251183521712,0.3952930872146197
5,0.43452194022221313,0.4067098625769759,0.4061598182349212,0.395419341265413,0.3952930872146197
mean,0.43452186146365895,0.4066891536665267,0.40615981823492103,0.395423557102508,0.3953023386110304
