,GMM_anomaly_detection,FuzzyCMeans_anomaly_detection,KMeans_anomaly_detection,all_data_KMeans,KNN_anomaly_detection
68,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.4022858666208598
123,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022436371897048,0.4024972458985415
4255,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40226672776366884,0.4022447696388295
17,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4027638979927641,0.40295054080304404
1,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4026530320598818,0.4022606740789715
63,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40297253984603043,0.4022426468744175
11,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40228413042592837,0.4022606740789715
77,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4023766828196383,0.4022426468744175
4,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022771012828672,0.40224712180430755
453,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40236923199734426,0.4022426468744175
537,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022937853647684,0.40272983521330175
5323,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40226672776366884,0.4022548384338758
3,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4031820642942026,0.403169654761889
42,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022771012828672,0.4031068039829912
323,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022937853647684,0.4028337458597586
21,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.4029411180293837
617,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.4022858666208598
7,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.4022606740789715
0,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40226672776366884,0.40226830995546176
1234,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.40221103553013976
9,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022937853647684,0.4022426468744175
61,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40226672776366884,0.4031405178066439
57,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022804915211516,0.4022426468744175
583,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40305127000807733,0.4022426468744175
19,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022416110009195,0.4022426468744175
12345,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.4022426468744175
14,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40226672776366884,0.4022426468744175
4257,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.40226672776366884,0.4022426468744175
5,0.46978402112421025,0.41656688687410004,0.4115028926523338,0.4022726375974877,0.4022426468744175
mean,0.46978402112421036,0.4165668868741002,0.41150289265233364,0.4023918268131072,0.40243511754535854
