,0,1,42,1234,10,123,2,5,12,12345,MostFrequent,Average
KMeans,4,4,4,4,4,4,4,4,4,4,4,4.0
GMM,4,6,4,6,6,3,4,4,3,3,4,4.3
FuzzyCMeans,5,5,6,6,6,6,5,6,6,6,6,5.7
Agglomerative,4,4,4,4,4,4,4,4,4,4,4,4.0
Spectral,4,4,4,4,4,4,4,4,4,4,4,4.0
