,0,1,42,1234,10,123,2,5,12,12345
KMeans,4,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0
GMM,4,6,3.0,6.0,6.0,3.0,3,4.0,3.0,3.0
FuzzyCMeans,5,5,,,,,5,,,
Agglomerative,4,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0
Spectral,4,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0
