,0,1,42,1234,10,123,2,5,12,12345
KMeans,4,4,4,4,4,4,4,4,4,4
GMM,5,5,5,5,5,5,4,4,5,5
FuzzyCMeans,4,4,4,4,4,4,4,4,4,4
Agglomerative,2,2,2,2,2,2,2,2,2,2
Spectral,2,2,2,2,2,2,2,2,2,2
