,KMeansVSGMM,KMeansVSFuzzyCMeans,KMeansVSAgglomerative,AgglomerativeVSSpectral
pValue,3.097380729574304e-11,1.600841281299897e-13,8.195143522663295e-11,1.216446264081519e-13
Stat,113.84053191687805,273.82770058302134,-96.79127706572218,-286.6517519238544
Cluster1Avg,0.4331956114409101,0.4331956114409101,0.4331956114409101,0.4417296980672119
Cluster2Avg,0.4231220615612795,0.40905222385165685,0.4417296980672119,0.4528584558411675
