,0,1,42,1234,10,123,2,5,12,12345
KMeans,4,4,4,4,4,4,4,4,4,4
GMM,4,4,4,4,4,4,4,4,4,4
FuzzyCMeans,5,5,5,5,5,5,5,5,5,5
Agglomerative,3,3,3,3,3,3,3,3,3,3
Spectral,3,3,3,3,3,3,3,3,3,3
