,KMeansVSGMM,KMeansVSFuzzyCMeans,KMeansVSAgglomerative,KMeansVSSpectral
pValue,3.453946812128945e-05,5.735934505883222e-06,5.196156883878111e-05,9.478789598574777e-06
stat,170.14959777819544,417.5380318700761,138.7209157378047,-324.8033283216177
Cluster1Avg,0.43347373206693346,0.43347373206693346,0.43347373206693346,0.43347373206693346
Cluster2Avg,0.422182572137739,0.4086499107808263,0.42522637983054623,0.45320882789306305
