,0,1,42,1234,10,123,2,5,12,12345,MostFrequent,Average
KMeans,2,2,2,2,2,2,2,2,2,2,2,2.0
GMM,2,2,2,2,2,2,2,2,2,2,2,2.0
FuzzyCMeans,3,3,3,3,3,3,3,3,3,3,3,3.0
Agglomerative,3,3,3,3,3,3,3,3,3,3,3,3.0
Spectral,2,2,2,2,2,2,2,2,2,2,2,2.0
