,KMeansAgainstGMM,KMeansAgainstFuzzyCMeans,KMeansAgainstAgglomerative,KMeansAgainstSpectral
pValue,0.9936495953185914,1.0,1.0,2.603545268609489e-05
Stat,-2.6505139242225897,-106.66231685694477,-3024.013813140936,4.708173791532524
Cluster1Avg,0.42614511854496645,0.42614511854496645,0.42614511854496645,0.42619609385469653
Cluster2Avg,0.4259302855265585,0.4249564082468685,0.3937552101910089,0.42619609385469653
Winner,KMeans,KMeans,KMeans,Spectral
