,0,1,42,1234,10,123,2,5,12,12345,MostFrequent,Average
KMeans,4,4,4,4,4,4,4,4,4,4,4,4.0
GMM,4,4,4,4,4,4,4,4,4,4,4,4.0
FuzzyCMeans,5,5,5,5,5,5,5,5,5,5,5,5.0
Agglomerative,3,3,3,3,3,3,3,3,3,3,3,3.0
Spectral,3,3,3,3,3,3,3,3,3,3,3,3.0
