,KMeansAgainstGMM,KMeansAgainstFuzzyCMeans,KMeansAgainstAgglomerative,KMeansAgainstSpectral
pValue,1.0,1.0,1.0,1.0
Stat,-117.54280040017657,-205.40346452466912,-1953.9832928565575,-73.13127646279086
Cluster1Avg,0.4549596873143852,0.4549596873143852,0.4549596873143852,0.4549596873143852
Cluster2Avg,0.44913130946741003,0.453952438746225,0.4454706935668097,0.45346894582024666
Winner,KMeans,KMeans,KMeans,KMeans
