,0,1,42,1234,10,123,2,5,12,12345,MostFrequent,Average
KMeans,4,4,4,4,4,4,4,4,4,4,4,4.0
GMM,3,3,5,6,5,5,5,3,3,7,3,4.5
FuzzyCMeans,5,5,5,4,4,4,4,4,5,4,4,4.4
Agglomerative,2,2,2,2,2,2,2,2,2,2,2,2.0
Spectral,2,2,2,2,2,2,2,2,2,2,2,2.0
