,0,1,42,1234,10,123,2,5,12,12345,MostFrequent,Average
KMeans,3,3,3,3,3,3,3,3,3,3,3,3.0
GMM,3,3,3,3,3,3,3,3,3,3,3,3.0
FuzzyCMeans,3,3,3,3,3,3,3,3,3,3,3,3.0
Agglomerative,3,3,3,3,3,3,3,3,3,3,3,3.0
Spectral,3,3,3,3,3,3,3,3,3,3,3,3.0
