,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral
68,0.0009058650277357374,0.0006676751924600924,0.0008157452278052519,0.0012703273005638793,0.0006849757893160661
94,0.0007437488014117638,0.001090920250120033,0.0008157452278052526,0.0012703273005638793,0.0006921466263185043
60,0.0008461313409934224,0.0009158081399258182,0.001154425374962786,0.0012703273005638793,0.0006921466263185051
17,0.000755556196746865,0.0011947067574356604,0.0008286022864471241,0.0012703273005638793,0.0006804077475640903
1,0.000921646748536353,0.001165106068610318,0.001178600609605347,0.0012703273005638793,0.0006784687102391423
63,0.000780386631622167,0.0015857770769502285,0.0008157452278052515,0.0012703273005638793,0.0006733885114826703
11,0.0010148638779633068,0.0010508869503475743,0.001156431079967644,0.0012703273005638793,0.0006983679297444361
77,0.0007319623676621621,0.0006353870011104266,0.0011786006096053472,0.0012703273005638793,0.0006919431610506752
4,0.0008332581056976262,0.0008994621394542224,0.000828602286447123,0.0012703273005638793,0.0006921466263185059
45,0.0009692518013053858,0.00095320893396524,0.0011544253749627884,0.0012703273005638793,0.0006874579622830521
24,0.0007410983721934117,0.0005717486640527746,0.000828602286447122,0.0012703273005638793,0.000662127469135393
15,0.0007958683329625256,0.0005466688947939813,0.0008157452278052515,0.0012703273005638793,0.0006597030330612933
3,0.0007947606372226695,0.0007682462534954658,0.0011786006096053488,0.0012703273005638793,0.0006921466263185062
42,0.000827886752089107,0.0007533443011455999,0.0011786006096053483,0.0012703273005638793,0.0006670325049275736
32,0.0008475487942597145,0.0011903600583696293,0.0011786006096053472,0.0012703273005638793,0.0006813373299366091
21,0.0007190135863480853,0.0006739718704768939,0.001178600609605348,0.0012703273005638793,0.0006620009151482813
62,0.0007701794709399566,0.0011749000840457025,0.001178600609605348,0.0012703273005638793,0.0006533408620040033
7,0.0006615736479242744,0.0016908609552484472,0.0011786006096053477,0.0012703273005638793,0.0006925684169801827
0,0.0009519923662089405,0.0009355177141786212,0.0011544253749627875,0.0012703273005638793,0.0006737192864658245
78,0.000805279474023967,0.0015690196936969218,0.0008119174611027338,0.0012703273005638793,0.000687457962283051
9,0.0007634278491544347,0.00061856749817872,0.0008157452278052514,0.0012703273005638793,0.0006891419929136227
61,0.0008211997328069188,0.0011165287959859832,0.0011590710390901732,0.0012703273005638793,0.0006827315320099067
57,0.0007814777929580531,0.0016560323038755983,0.0011544253749627865,0.0012703273005638793,0.000658702038482373
84,0.0007947164649957641,0.0012662842493521723,0.0008286022864471229,0.0012703273005638793,0.0006745712724969227
19,0.000976892814447637,0.0015612622508772592,0.0011786006096053488,0.0012703273005638793,0.000674469761874429
56,0.0007603934407929198,0.0007610088717634707,0.0011544253749627865,0.0012703273005638793,0.0006611082391610366
2,0.0008735072162432123,0.0006353870011104264,0.001178600609605347,0.0012703273005638793,0.0006963345735009009
14,0.000775921515519765,0.0012032997341526375,0.0011590710390901732,0.0012703273005638793,0.0006552011980475146
87,0.0009101038160718352,0.0015564566449522597,0.001154425374962787,0.0012703273005638793,0.0006916742025381497
46,0.0009154113117692566,0.001603109407062529,0.0011786006096053466,0.0012703273005638793,0.0006750491561028554
