,Agglomerative,GMM,Spectral,KMeans,FuzzyCMeans
68,0.08852251317105804,0.07089143168450314,0.06188285856640454,0.059160171110629205,0.0588016673351968
123,0.08852251317105804,0.07035724862626787,0.06188285856640454,0.05914192191754772,0.058800073165706325
4255,0.08852251317105804,0.07032618485820272,0.06188285856640454,0.05916017111062921,0.0588016673351968
17,0.08852251317105804,0.07576640888459019,0.06186267225692795,0.0593175734900086,0.058800073165706325
1,0.08852251317105804,0.07290838454535843,0.06188285856640454,0.059296168672166055,0.0588016673351968
63,0.08852251317105804,0.0728436744249695,0.06188285856640454,0.05942381201176804,0.058800073165706325
11,0.08852251317105804,0.07090731710027198,0.06188285856640454,0.059165459623430394,0.05880247770361913
77,0.08852251317105804,0.07273208089465395,0.06188285856640454,0.059232711065923746,0.058800073165706325
4,0.08852251317105804,0.058859935969858015,0.06188285856640454,0.05916281123442871,0.0588016673351968
453,0.08852251317105804,0.0730057382640022,0.061749369156705244,0.05921174393996442,0.058800073165706325
537,0.08852251317105804,0.07089143168450354,0.06188285856640454,0.059170781185212705,0.058800073165706325
5323,0.08852251317105804,0.07026417709219111,0.06188285856640454,0.05916017111062921,0.058800073165706325
3,0.08852251317105804,0.05907247397258292,0.06188285856640454,0.05956425545158854,0.058800073165706325
42,0.08852251317105804,0.0728436744249695,0.06188285856640454,0.05916281123442871,0.05880247770361913
323,0.08852251317105804,0.058858436830647703,0.06188285856640454,0.059170781185212705,0.058800073165706325
21,0.08852251317105804,0.05885399125825186,0.06188285856640454,0.059160171110629205,0.0588016673351968
617,0.08852251317105804,0.07290838454535843,0.06190986263018036,0.059160171110629205,0.058800073165706325
7,0.08852251317105804,0.05885399125825205,0.06187612343383828,0.059160171110629205,0.058800073165706325
0,0.08852251317105804,0.07089143168450354,0.06190986263018036,0.05916017111062921,0.0588016673351968
1234,0.08852251317105804,0.0730057382640022,0.06188285856640454,0.059160171110629205,0.05880247770361913
9,0.08852251317105804,0.058856946330525996,0.06188285856640454,0.059170781185212705,0.058800073165706325
61,0.08852251317105804,0.07761385840841195,0.06188285856640454,0.05916017111062921,0.058800073165706325
57,0.08852251317105804,0.07100283823463646,0.06188285856640454,0.05916281123442871,0.058800073165706325
583,0.08852251317105804,0.0588525266914462,0.061755982736780755,0.05940384460846633,0.05880247770361913
19,0.08852251317105804,0.0730057382640022,0.06188285856640454,0.05914192191754763,0.058800073165706325
12345,0.08852251317105804,0.07090731710027198,0.06188285856640454,0.059160171110629205,0.058800073165706325
14,0.08852251317105804,0.0588525266914462,0.06188285856640454,0.05916017111062921,0.058800073165706325
4257,0.08852251317105804,0.07032618485820272,0.06185595622062554,0.05916017111062921,0.058800073165706325
5,0.08852251317105804,0.07263034399464018,0.06190986263018036,0.059160171110629205,0.05880247770361913
mean,0.08852251317105801,0.06852035920143187,0.061874817985859115,0.05920629015156948,0.05880081756937898
