,p_value,stat,test,result
0,1.1136360503160256e-85,572.8129143563706,KMeans = GMM = FuzzyCMeans = Agglomerative = Spectral,False
1,7.335130368615642e-11,8.013896613486493,GMM = KMeans,False
2,3.667565184307821e-11,8.013896613486493,GMM > KMeans,False
3,1.9549561081325595e-11,-8.363846260179491,FuzzyCMeans = GMM,False
4,0.9999999999902252,-8.363846260179491,FuzzyCMeans > GMM,True
5,5.779013926377789e-29,-21.72858324869992,FuzzyCMeans = KMeans,False
6,1.0,-21.72858324869992,FuzzyCMeans > KMeans,True
7,9.721396726427742e-132,1571.0843601647878,Agglomerative = KMeans,False
8,4.860698363213871e-132,1571.0843601647878,Agglomerative > KMeans,False
9,5.002245337343238e-24,17.212225550351306,Agglomerative = GMM,False
10,2.501122668671619e-24,17.212225550351306,Agglomerative > GMM,False
11,4.707818559553466e-72,134.81637562931445,Spectral = KMeans,False
12,2.353909279776733e-72,134.81637562931445,Spectral > KMeans,False
13,4.342838754780491e-07,-5.718519509749256,Spectral = GMM,False
14,0.9999997828580622,-5.718519509749256,Spectral > GMM,True
